Age,KM,Affordable
23,46986,0
23,72937,0
24,41711,0
26,48000,0
30,38500,0
32,61000,0
27,94612,0
30,75889,0
27,19700,0
23,71138,0
25,31461,0
22,43610,0
25,32189,0
31,23000,0
32,34131,0
28,18739,0
30,34000,0
24,21716,0
24,25563,0
30,64359,0
30,67660,0
29,43905,0
28,56349,0
28,32220,0
29,25813,0
25,28450,0
27,34545,0
29,41415,0
28,44142,0
30,11090,0
29,9750,0
22,35199,0
27,29510,0
26,32692,0
22,41000,0
26,43000,0
25,25000,0
23,10000,0
32,25329,0
27,27500,0
22,49059,0
27,44068,0
22,46961,0
27,110404,0
22,100250,0
23,84000,0
27,79375,0
22,75048,0
22,72215,0
31,64982,0
22,62636,0
30,57086,0
26,56000,0
27,49866,0
25,49163,0
32,45725,0
28,43210,0
26,43000,0
23,39704,0
30,38950,0
22,37400,0
27,37177,0
31,36544,0
30,33511,0
27,32809,0
26,32181,0
28,30993,0
22,30400,0
22,30000,0
25,29719,0
28,29206,0
32,29198,0
28,28817,0
23,28227,0
28,28000,0
23,28000,0
31,25266,0
27,23489,0
29,22575,0
30,22000,0
25,20019,0
29,20000,0
25,17003,0
31,16238,0
25,15414,0
28,8537,0
30,7000,0
20,66966,0
19,51884,0
19,50005,0
20,48110,0
20,37500,0
16,34472,0
20,33329,0
20,31850,0
17,30351,0
19,29435,0
19,25948,0
11,24500,0
18,23902,0
20,23175,0
19,19200,0
13,18000,0
11,16123,0
11,14635,0
19,13748,0
14,11500,0
17,10000,0
20,7187,0
4,1,0
4,4000,0
4,1500,0
8,13253,0
8,13253,0
7,10000,0
8,6000,0
8,10841,0
7,1,0
20,63000,0
17,57313,0
13,57037,0
19,51099,0
14,40010,0
20,39115,0
17,36012,0
16,36000,0
20,36000,0
20,35000,0
17,33740,0
13,33477,0
20,32627,0
20,29797,0
19,29441,0
13,29371,0
20,29000,0
19,27821,0
19,27371,0
13,25170,0
11,25000,0
20,23000,0
20,22588,0
19,21684,0
13,21428,0
16,20629,0
15,20270,0
16,20105,0
20,20000,0
13,19988,0
19,18328,0
14,17896,0
20,17300,0
19,17038,0
10,13747,0
12,13634,0
13,13178,0
15,13157,0
16,13000,0
11,12500,0
17,11999,0
16,11754,0
16,11000,0
17,10000,0
9,7650,0
14,6500,0
11,6155,0
14,6000,0
14,5459,0
14,5278,0
12,5000,0
9,1,0
9,1,0
8,11000,0
8,10077,0
8,10000,0
8,9788,0
8,8574,0
8,7000,0
7,6250,0
8,5000,0
6,3000,0
7,2000,0
7,450,0
2,225,0
2,15,0
1,1,0
1,1,0
43,243000,1
38,180638,1
40,179860,1
43,178858,1
40,161000,1
44,158320,1
44,131273,1
40,130062,1
41,123425,0
37,118217,1
44,110000,1
39,108847,0
42,105699,1
39,98823,1
44,96829,1
40,96518,1
42,92204,1
35,91456,1
43,89968,0
44,89757,1
40,85389,0
43,85017,1
41,84312,1
37,82743,1
41,81106,0
40,80425,0
34,78677,1
40,78425,1
33,78108,0
33,77321,1
33,75699,0
41,75697,1
44,74846,1
38,74319,0
43,74285,1
44,74172,0
40,73042,1
44,71793,0
35,71200,0
38,67805,0
35,65988,1
34,65345,1
42,64564,0
36,63459,0
44,63451,1
33,62000,0
42,61300,1
41,61200,0
41,61000,1
38,60829,1
44,60500,1
35,59500,0
44,59000,0
40,58954,1
38,58798,1
38,58363,0
43,58277,1
33,57711,0
33,57269,1
39,56001,0
42,55968,1
39,55678,0
43,55539,0
42,55400,1
33,55350,1
43,54600,1
43,53773,1
42,53719,0
39,53644,1
42,53350,0
38,53000,0
44,52084,1
44,52000,1
33,51945,0
41,51732,1
39,50873,0
41,50856,0
40,50640,0
39,50000,0
38,49500,1
44,49332,0
34,49291,0
40,48952,0
39,48945,1
33,48928,0
38,48197,0
35,48052,0
34,48011,0
43,48000,0
41,47350,1
39,46821,0
39,46694,1
43,46515,0
38,46327,0
35,46304,0
40,45886,0
39,45713,0
40,45600,0
41,45287,1
39,45081,0
40,44830,1
37,44757,1
44,44218,1
43,43632,0
36,43427,0
39,43254,0
35,43000,1
33,42823,0
42,42560,0
38,41754,1
44,41499,0
40,41339,0
35,41000,0
39,40000,0
37,39757,0
41,39659,0
43,39650,0
39,39524,1
44,39516,0
41,39439,1
44,39000,1
42,38932,0
37,38812,1
42,38665,0
40,38653,0
44,38461,0
42,38078,1
39,37782,1
43,37576,1
41,37533,0
44,37389,0
38,37320,1
42,37000,1
44,37000,1
40,36566,1
36,36269,1
37,36074,0
44,36066,1
39,34599,0
41,34000,1
42,33623,1
33,33591,0
35,33258,0
43,33113,1
41,33000,1
35,32941,0
38,32781,1
40,32532,1
34,32431,0
35,32000,0
33,31000,0
41,30989,0
43,30742,0
42,30190,1
41,29716,1
44,29716,1
42,29640,0
41,29056,1
33,28715,0
41,28571,0
40,28362,0
38,28150,0
43,27301,0
33,27240,0
39,27170,1
42,27141,1
38,26262,0
38,26000,0
43,25228,0
39,25062,0
39,24723,0
33,24650,0
43,24553,0
41,24475,0
39,24444,0
35,24011,1
41,24000,1
40,23616,0
38,22865,0
41,22780,1
35,21904,1
41,21651,1
37,21500,1
44,21027,0
39,18500,1
35,18000,0
40,17051,1
33,16512,0
40,16325,0
38,16000,1
39,12000,1
43,10000,0
53,216000,1
51,198167,1
53,176000,1
54,174139,1
45,174000,1
55,150000,1
54,149329,1
51,146736,1
53,143513,1
48,142130,1
48,140700,1
54,138394,1
55,137000,1
52,135258,1
49,131364,1
56,129155,1
50,126110,1
48,119742,1
53,117913,1
47,117430,0
55,117175,1
54,115558,1
53,115113,1
54,115046,1
56,113997,1
49,107859,1
52,104805,1
54,103454,1
51,103018,1
47,102352,1
50,102030,1
54,101352,1
50,99865,1
52,99323,1
48,98100,1
51,98040,1
49,97600,1
55,97234,1
51,96135,1
54,96100,1
55,94401,1
55,94122,1
49,91340,1
53,90200,1
53,90097,1
48,89049,1
52,89000,1
45,87274,1
49,86221,1
54,84598,0
50,83567,1
50,83106,0
50,82805,0
50,82735,1
54,81905,1
49,80320,1
49,80090,1
53,79800,1
47,78785,1
48,78600,1
55,77780,1
49,77648,0
54,77270,1
50,76167,1
46,75249,1
54,75231,1
48,75045,1
50,74849,1
55,74715,1
49,74656,1
56,74500,1
49,74494,1
50,73634,1
47,73403,1
49,73175,1
52,73000,0
50,72242,1
53,72000,1
54,71725,1
54,71276,1
50,70440,1
53,70239,1
55,69813,1
49,69659,1
46,69574,1
47,69000,1
49,68565,1
55,68520,1
46,68414,1
56,66777,1
52,66527,0
54,66063,1
50,65471,1
56,65400,1
52,65170,1
56,65000,1
48,64193,1
54,64000,1
54,63792,1
53,63635,1
54,63135,1
54,63123,1
48,63000,1
55,63000,1
54,62987,1
56,62751,1
54,62519,1
50,62280,1
50,61672,1
54,61000,1
56,61000,0
53,60558,1
47,60348,1
54,60239,1
51,59000,1
51,58761,1
54,58745,1
52,58596,1
54,58530,1
55,58377,1
56,58142,1
53,57948,1
51,57645,1
47,57500,1
53,57475,1
55,56743,1
48,56675,1
54,55877,1
53,55500,1
55,54900,1
50,54465,1
46,53700,1
52,53561,1
51,53408,1
51,53268,0
49,53116,1
56,52448,1
55,52149,1
55,52141,1
56,52000,1
48,50967,1
50,50400,1
54,50000,1
51,50000,1
53,49969,1
49,49568,0
51,49473,1
52,49432,1
48,49417,1
54,49366,1
56,48731,1
54,48370,0
48,48071,1
54,47852,1
54,47768,1
52,47689,1
53,47451,0
50,47219,1
56,47211,1
54,46856,1
56,46500,1
52,46449,1
47,46391,1
54,46230,0
52,46029,1
50,46000,1
50,45900,0
47,45850,1
56,45336,0
55,44537,1
56,43700,1
48,43120,0
49,41710,1
52,41700,1
49,41636,0
50,41273,1
49,40836,1
50,40400,1
47,40361,1
54,40325,0
47,40000,1
50,39706,0
54,39291,1
54,39000,1
47,38900,1
51,38403,0
56,37461,1
54,37000,1
55,36406,1
48,36005,1
52,36000,1
49,36000,0
45,36000,0
52,35823,1
56,35230,1
48,35142,1
49,34890,1
51,34882,0
46,34000,1
56,33998,1
55,33230,1
46,33021,1
49,31999,1
52,31579,1
56,31000,1
46,30806,1
55,30461,1
50,29686,0
55,29650,1
52,29500,0
48,28656,1
55,27500,1
48,26938,1
53,26624,1
47,26221,1
50,22648,1
50,22500,1
56,19313,1
50,17619,1
51,17069,1
48,15000,1
50,10210,0
47,5309,1
50,1,1
52,31000,1
58,205000,1
68,204250,1
68,194545,1
59,190900,1
62,183500,1
65,176184,1
67,174833,1
68,155720,1
67,155500,1
59,154783,1
64,154462,1
64,150585,1
67,149000,1
62,147636,1
59,144521,1
64,144000,1
65,140168,1
68,140000,1
60,139800,1
59,137050,1
61,136956,1
67,135337,1
64,133769,1
58,133405,1
65,132807,1
64,132393,1
60,130270,1
59,130000,1
67,127000,1
67,126800,1
66,126452,1
62,125175,1
68,125000,1
61,123000,1
59,121626,1
64,120400,1
66,120000,1
68,119541,1
68,119500,1
68,119289,1
57,118833,1
64,118000,1
68,117955,1
65,117609,1
68,117000,1
64,116000,1
58,115715,1
60,115191,1
68,115071,1
63,115000,1
64,114846,1
65,114383,1
59,113700,1
67,113118,1
59,112827,1
68,112116,1
66,112000,1
62,112000,1
65,111769,1
61,110853,1
68,110287,1
62,109547,1
63,109230,1
68,109150,1
67,108793,1
64,106784,1
58,105942,1
59,105000,1
62,105000,1
68,104299,1
67,104000,1
68,104000,1
58,103458,1
63,103400,1
63,102807,1
68,102494,1
57,102300,1
61,102106,1
68,101889,1
57,101791,1
63,101469,1
68,101001,1
61,100748,1
65,100550,1
67,99781,1
59,98658,1
65,98500,1
64,98291,1
61,97648,1
61,97425,1
65,97173,1
66,97046,1
67,96000,1
60,96000,0
67,95750,1
61,95147,1
68,95000,1
65,95000,1
66,94606,1
63,94504,1
65,93428,1
65,93408,1
68,93296,1
62,93098,1
67,92922,1
61,92498,1
65,92226,1
68,91505,1
64,91333,1
65,91246,1
58,91000,1
68,90727,1
62,90000,1
60,89576,1
64,89145,1
63,89000,1
68,88807,1
63,88685,1
62,88667,1
57,88480,1
61,88127,1
62,88000,1
65,87821,1
59,87654,1
59,86888,1
59,86871,1
68,86714,1
65,85889,1
62,85000,1
60,85000,1
68,84976,1
65,84558,1
62,84549,1
68,84482,1
62,83908,1
67,83560,1
68,83000,1
64,82723,1
62,82421,1
58,82254,1
61,82115,1
65,82000,1
68,81965,1
66,81250,1
65,81192,1
61,81170,1
66,81083,1
61,80714,1
57,80470,1
65,80439,1
59,80430,1
68,80426,1
62,80265,1
65,80153,1
68,80121,1
65,80086,1
62,80000,1
60,80000,1
65,80000,1
67,79858,1
67,79762,1
59,79660,1
60,79150,1
61,79000,1
57,78955,1
59,78750,1
68,78521,1
64,78356,1
65,78076,1
61,78063,1
67,77821,1
68,77695,1
65,77500,1
63,77457,1
68,77029,1
68,77008,1
66,76791,1
61,76700,1
67,76569,1
59,76162,1
65,76155,1
61,75609,1
62,75569,1
67,75429,1
68,75000,1
65,75000,1
62,75000,1
66,74963,1
68,74889,1
68,74875,1
63,74747,1
60,74720,1
62,74457,1
60,74337,1
68,74308,1
64,74193,1
65,74179,1
67,73936,1
61,73894,1
64,73500,1
64,73376,1
64,73300,1
58,73172,1
58,72928,1
67,72880,1
63,72522,1
64,72000,1
57,72000,1
59,71366,1
65,71317,1
62,71000,1
60,70954,1
63,70908,1
58,70560,1
67,70552,1
62,70500,1
60,70453,1
59,70218,1
64,70116,1
65,70068,1
67,70000,1
68,70000,1
68,69103,1
58,69022,1
67,69000,1
68,68865,1
58,68723,1
63,68453,1
63,68238,1
63,68153,1
65,68000,1
65,68000,1
67,67762,1
68,67146,1
67,67110,1
59,67010,1
65,67003,1
68,66785,1
68,66550,1
61,66259,1
62,66082,1
65,66000,1
61,66000,1
63,65896,1
67,65785,1
65,65513,1
59,65463,1
68,65400,1
60,65259,1
64,65000,1
68,65000,1
57,65000,1
62,64966,1
68,64950,1
60,64914,1
62,64797,1
65,64772,1
63,64690,1
65,64630,1
67,64613,1
60,64383,1
68,64000,1
66,63881,1
58,63870,1
66,63328,1
65,63000,1
61,63000,1
65,62396,1
62,62377,1
67,62316,1
68,62292,1
65,62225,1
68,62222,1
66,62135,1
58,62024,1
60,61977,1
62,61930,1
57,61682,1
68,61568,1
68,61504,1
65,61384,1
58,61343,1
62,61254,1
59,61166,1
62,61149,1
61,61144,1
59,61127,1
60,61100,1
68,61100,1
57,61000,1
65,60724,1
59,60708,1
61,60532,1
67,60000,1
66,60000,1
65,60000,1
62,59295,1
65,59264,1
63,59000,1
63,59000,1
65,59000,1
61,59000,1
65,59000,1
68,58860,1
65,58829,1
66,58654,1
65,58300,1
60,58269,1
64,58136,1
66,58113,1
67,58058,0
58,58000,1
62,58000,1
68,57565,1
63,57413,1
65,57374,1
62,57179,1
61,57169,1
63,57124,1
63,57000,1
67,57000,1
63,57000,1
59,56259,1
62,56209,1
67,56074,1
63,55942,1
57,55844,1
61,55747,1
58,55478,1
60,55085,1
65,55061,1
65,55000,1
57,55000,1
63,54936,1
68,54875,1
67,54847,1
60,54554,1
61,54125,1
61,54000,1
57,54000,1
58,54000,1
57,54000,1
62,53285,1
65,53053,1
68,53000,1
68,53000,1
64,52968,1
67,52800,1
57,52548,1
60,52487,1
66,52383,1
61,52112,1
58,51712,1
58,51421,1
61,51235,1
65,51000,1
61,50925,1
66,50806,1
59,50469,1
61,50173,1
62,50000,1
65,49942,1
67,49585,1
62,49258,1
61,49000,1
63,48738,1
62,47750,1
63,47612,1
68,47500,1
66,47237,1
58,47171,1
60,47060,1
65,47014,1
59,46929,1
63,46000,1
65,45681,1
65,45549,1
57,45000,1
57,45000,1
65,45000,1
66,45000,1
63,45000,1
61,45000,1
63,44944,1
61,44597,1
68,44458,1
59,43818,1
60,43426,1
58,43000,1
68,43000,1
